unique_ID,smiles,InChI,pka_type,pka_value,T,remarks,method,assessment,ref,ref_remarks,entry_remarks,original_IUPAC_names,name_contributors,num_name_contributors,original_IUPAC_nicknames,source,pressure,acidity_label,original_T,cosolvent,data_source,chembl_id,units,mol_hash
perrin1,CC(=N)N,"InChI=1S/C2H6N2/c1-2(3)4/h1H3,(H3,3,4)",pKaH1,12.4,25,"C=0.04, f+/- taken equal f+/-(KCl)",E3bh,Uncertain,S29,,,"methane, amidino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,59231936
perrin2,CN,"InChI=1S/CH5N/c1-2/h2H2,1H3",pKaH1,10.657,25,I=0.03 to 1.5,E1b,Reliable,H31,," Other measurements: refs. B72, C20, H16, M56, N28, P10","methane, amino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,1c290339
perrin3,NCC(N)=O,"InChI=1S/C2H6N2O/c3-1-2(4)5/h1,3H2,(H2,4,5)",pKaH1,7.95,25,I=0.01,E3bg,Approximate,D11,," Other measurements: C19, L34","methane, C-amino-C-carbamoyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,cf205319
perrin4,NCC(=O)NN,"InChI=1S/C2H7N3O/c3-1-2(6)5-4/h1,3-4H2,(H,5,6)",pKaH1,7.69,25,I=0.05 to 0.2 “mixed” constants,E3bg,Approximate,L47,,,"methane, C-amino-C-hydrazinocarbonyl-","['OPSIN_name1', 'manual_only_one']",2.0,,perrin,,AH,,,IUPAC_large,,,329f05c9
perrin5,N#CCN,"InChI=1S/C2H4N2/c3-1-2-4/h1,3H2",pKaH1,5.34,25,C=0.01,E3bg,Approximate,S75,,,"methane, aminocyano-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,bd25e966
perrin6,CCOC(OCC)[SiH2]CN,"InChI=1S/C6H17NO2Si/c1-3-8-6(9-4-2)10-5-7/h6H,3-5,7,10H2,1-2H3",pKb1,4.8,25,,E3bg,Uncertain,N28,,,"methane, amino(diethoxymethylsilyl)-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,B,room_temp.,,IUPAC_large,,,c6a3f083
perrin7,CCO[Si](C)(C)CN,"InChI=1S/C5H15NOSi/c1-4-7-8(2,3)5-6/h4-6H2,1-3H3",pKb1,3.82,25,,E3bg,Uncertain,N28,,,"methane, amino(ethoxydimethylsilyl)-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,B,room_temp.,,IUPAC_large,,,4290620d
perrin8,CON,"InChI=1S/CH5NO/c1-3-2/h2H2,1H3",pKaH1,4.6,25,"C=0.0025, I=0.05 to 0.3","E3bg, R4",Approximate,B70,, Other measurement: V17,"methane, O-aminohydroxy-","['OPSIN_name1', 'manual_only_one']",2.0,,perrin,,AH,,,IUPAC_large,,,53ae9714
perrin9,CCO[Si](CN)(OCC)OCC,"InChI=1S/C7H19NO3Si/c1-4-9-12(7-8,10-5-2)11-6-3/h4-8H2,1-3H3",pKb,5.57,25,,E3bg,Uncertain,N28,,,"methane, amino(triethoxysilyl)-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,B,room_temp.,,IUPAC_large,,,75219f0e
perrin10,C[Si](C)(C)CN,"InChI=1S/C4H13NSi/c1-6(2,3)4-5/h4-5H2,1-3H3",pKaH1,10.96,25,I<0.06,E3ag,Approximate,S62,,,"methane, aminotrimethylsilyl-","['OPSIN_name1', 'manual_only_one']",2.0,,perrin,,AH,,,IUPAC_large,,,e9beb55a
perrin11,CC(N)=O,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",pKaH1,-0.63,25,Rate of acid hydrolysis,Kin,Approximate,K14,," For pK of N-substituted formamides and acetamides in glacial acetic acid at 20 deg. C, see ref. H63.
 - Other measurements: L66, S59","methane, carbamoyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,1d181dad
perrin12,CNCC(N)=O,"InChI=1S/C3H8N2O/c1-5-2-3(4)6/h5H,2H2,1H3,(H2,4,6)",pKaH1,8.31,25,C=0.01,E3bg,Approximate,D10,,,"methane, C-carbamoyl-C-methylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,a29da039
perrin13,CN(C)Cl,InChI=1S/C2H6ClN/c1-4(2)3/h1-2H3,pKaH1,0.46,25,"I=0.04 to 0.7, f_BH taken equal to f_HN(CH3)3",O5,Approximate,W13,,,"methane, N-chloro-N-methylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,f12620d8
perrin14,CC#N,InChI=1S/C2H3N/c1-2-3/h1H3,pKaH1,-4.3,,"In HClO4, glacial acetic acid solutions, taking pK of 4-chloro-2-nitroaniline=-1.03",O6,Uncertain,L15,,,"methane, cyano-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,HClO4 and acetic acid,IUPAC_large,,,8d616e4a
perrin15,N#CCNCC#N,"InChI=1S/C4H5N3/c5-1-3-7-4-2-6/h7H,3-4H2",pKaH1,0.2,25,,O6,Uncertain,S75,,,"methane, cyanocyanomethylamino-",['manual_inconsistent'],1.0,,perrin,,AH,,,IUPAC_large,,,8d7796fd
perrin16,N#CCC(=O)NN,"InChI=1S/C3H5N3O/c4-2-1-3(7)6-5/h1,5H2,(H,6,7)",pKaH1,2.34,20,,E3b,Uncertain,A21,,,"methane, C-cyano-C-hydrazinocarbonyl-","['OPSIN_name1', 'manual_only_one']",2.0,,perrin,,AH,,,IUPAC_large,,,4abe47d1
perrin17,CN(C)CC#N,"InChI=1S/C4H8N2/c1-6(2)4-3-5/h4H2,1-2H3",pKaH1,4.2,29,I=0.03 to 0.05,E3bg,Uncertain,S60,,,"methane, N-cyanomethylmethylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,589db879
perrin18,CN(C)C,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,pKaH1,10.355,0,(c) I=0.05 to 0.20,E2b,Reliable,E38,Thermodynamic quantities are derived from the results," Other measurements: H16, H23, M56","methane, dimethylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,c880f462
perrin19,CC(=O)N(C)C,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,pKaH1,-0.19,<25,,O6,Uncertain,G30,,,"methane, dimethylcarbamoyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,f52040b3
perrin20,CNCC(=O)N(C)C,"InChI=1S/C5H12N2O/c1-6-4-5(8)7(2)3/h6H,4H2,1-3H3",pKaH1,8.82,25,C=0.01,E3bg,Approximate,D10,,,"methane, N,N-dimethylcarbamoyl-C-methylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,78992f3b
perrin21,CC(=O)NN,"InChI=1S/C2H6N2O/c1-2(5)4-3/h3H2,1H3,(H,4,5)",pKaH1,3.24,24,"I=0.05 to to 0.2, ""mixed"" constant",E3bg,Approximate,L47,,,"methane, hydrazinocarbonyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,9cd9116a
