smiles,pka_value,filtered,filter_version
B.CP(c1ccccc1)c1ccc(O)cc1,8.83,True,1.0
B.Oc1ccc(P(c2ccccc2)c2ccccc2)cc1,8.81,True,1.0
Br.Cc1ccc(S(=O)(=O)N[C@@H](CCCCN)C(N)=O)cc1,9.6,True,1.0
Br.NCCCC[C@H](NC(=O)c1ccccc1)C(N)=O,10.3,True,1.0
Br.NCCSC[C@H](NC(=O)c1ccccc1)C(N)=O,9.4,True,1.0
Br.Oc1noc2c1CNCC2,4.3,True,1.0
Br.c1ncc(CN2CCCNCCNCCCNCC2)nc1CN1CCCNCCNCCCNCC1,5.25,True,1.0
Br/C=C/C(=O)O,3.71,True,1.0
BrC1=C(C=CC=C1)/C=C/C(=O)O,4.23,True,1.0
BrC1=NNC2(CCC2)C1,2.7,True,1.0
BrC1=NNC2(CCCC2)C1,2.68,True,1.0
BrC1NC=CN1,3.79,True,1.0
BrC=1C=CC(=C(C1)\C=C/C(=O)O)O,3.62,True,1.0
Br\C=C/C(=O)O,3.32,True,1.0
Brc1c(NC2CC2)nc(C2CC2)nc1N1CCCCCC1,6.21,True,1.0
Brc1c[nH]cn1,3.88,True,1.0
Brc1c[nH]nc1Br,-1.83,True,1.0
Brc1cc(Br)c(Br)nc1Br,-4.9,True,1.0
Brc1cc(Br)c(N=C2NCCN2)c(Br)c1,7.46,True,1.0
Brc1cc(Br)nc(Br)c1,-3.36,True,1.0
Brc1cc2cccnc2c2ncccc12,4.2,True,1.0
Brc1ccc(-c2nc(-c3ccc4nc[nH]c4c3)no2)cc1,3.25,True,1.0
Brc1ccc(-n2ccnc2)cc1,4.91,True,1.0
Brc1ccc(Br)c(Br)n1,-3.81,True,1.0
Brc1ccc(Br)c(N(CC2CC2)C2=NCCN2)c1,11.0,True,1.0
Brc1ccc(Cc2nn[nH]n2)cc1,4.62,True,1.0
Brc1ccc(N(CC2CC2)C2=NCCN2)c(Br)c1,11.2,True,1.0
Brc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,7.0,True,1.0
Brc1ccc2[nH]ccc2c1,16.13,True,1.0
Brc1ccc2[nH]cnc2c1,4.66,True,1.0
Brc1ccc2[o+]cccc2c1,-3.58,True,1.0
Brc1ccc2ccc[o+]c2c1,-3.31,True,1.0
Brc1ccc2ccccc2n1,1.05,True,1.0
Brc1ccc2cccnc2c1,3.87,True,1.0
Brc1ccc2ncccc2c1,3.91,True,1.0
Brc1cccc(Br)c1N(C1=NCCN1)C1CCCC1,11.2,True,1.0
Brc1cccc(Br)c1N(C1=NCCN1)C1CCCCC1,11.3,True,1.0
Brc1cccc(Br)c1N(CC1CC1)C1=NCCCN1,12.4,True,1.0
Brc1cccc(Br)c1N(CC1CC1)C1=NCCN1,10.88,True,1.0
Brc1cccc(Br)c1N(CC1CCC1)C1=NCCN1,10.9,True,1.0
Brc1cccc(Br)c1N(CC1CCCC1)C1=NCCN1,10.9,True,1.0
Brc1cccc(Br)c1N(CC1CCCCC1)C1=NCCN1,11.2,True,1.0
Brc1cccc(Br)c1N(Cc1ccccc1)C1=NCCN1,10.4,True,1.0
Brc1cccc(Br)c1N(Cc1ccco1)C1=NCCN1,10.5,True,1.0
Brc1cccc(Br)c1N(Cc1cccs1)C1=NCCN1,10.51,True,1.0
Brc1cccc(Br)c1N=C1NCCN1,7.8,True,1.0
